"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_002E","B28001_002M","B28001_003E","B28001_003M","B28001_004E","B28001_004M","B28001_005E","B28001_005M","B28001_006E","B28001_006M","B28001_007E","B28001_007M","B28001_008E","B28001_008M","B28001_009E","B28001_009M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!Desktop or laptop","Margin of Error!!Total!!Has a computer!!Desktop or laptop","Estimate!!Total!!Has a computer!!Desktop or laptop!!Desktop or laptop alone","Margin of Error!!Total!!Has a computer!!Desktop or laptop!!Desktop or laptop alone","Estimate!!Total!!Has a computer!!Handheld computer","Margin of Error!!Total!!Has a computer!!Handheld computer","Estimate!!Total!!Has a computer!!Handheld computer!!Handheld computer alone","Margin of Error!!Total!!Has a computer!!Handheld computer!!Handheld computer alone","Estimate!!Total!!Has a computer!!Other computer","Margin of Error!!Total!!Has a computer!!Other computer","Estimate!!Total!!Has a computer!!Other computer!!Other computer alone","Margin of Error!!Total!!Has a computer!!Other computer!!Other computer alone","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer"
"0400000US01","Alabama","1822439","11200","1403538","13471","1272277","13719","351677","8768","1042335","13201","125534","6133","73261","4298","1661","498","418901","8681"
"0400000US02","Alaska","246015","2720","221536","3171","209514","3492","39874","2517","179630","3863","10051","1650","23269","2619","580","529","24479","2152"
"0400000US04","Arizona","2400809","11557","2026250","12466","1901594","12732","505738","10359","1498311","16187","118354","6351","117812","6106","3047","756","374559","8286"
"0400000US05","Arkansas","1125899","6925","875617","9272","780482","10243","216124","6730","655161","9879","93083","5710","31386","2678","1303","506","250282","6688"
"0400000US06","California","12650592","16944","10983497","24741","10345105","26209","2131806","18006","8742192","23355","595166","10547","939947","16059","18259","2241","1667095","17493"
"0400000US08","Colorado","2002800","8550","1787719","10645","1701347","11179","370556","7928","1405794","10646","81466","5266","102219","4881","2743","871","215081","6922"
"0400000US09","Connecticut","1339860","7005","1140485","7992","1087169","8377","255088","7275","864075","8904","49186","3719","83109","4193","2954","891","199375","6119"
"0400000US10","Delaware","339071","3144","288766","4171","273623","4374","66368","3162","215781","4677","14228","2199","18998","1971","662","488","50305","3272"
"0400000US11","District of Columbia","271651","3228","229804","3652","215815","3725","29855","2503","198763","3860","13025","1595","24101","2446","386","321","41847","2952"
"0400000US12","Florida","7211584","26752","6083160","26214","5740275","26127","1565996","18423","4468838","25807","320845","9674","359332","11279","9128","1429","1128424","15957"
"0400000US13","Georgia","3546965","15286","2961195","15624","2761924","17020","647581","13580","2293192","16020","186825","6766","184554","7892","4644","1038","585770","11504"
"0400000US15","Hawaii","450120","4406","389021","4177","375415","4601","75109","3204","312368","4666","12316","1795","25691","2323","586","286","61099","3070"
"0400000US16","Idaho","588489","5467","511931","6469","485179","6714","135385","5170","373271","7041","26038","3006","22544","2917","317","264","76558","3876"
"0400000US17","Illinois","4783421","13914","3990087","16460","3764351","17998","912144","11616","3048576","16794","211993","7183","258546","8934","6812","1066","793334","11675"
"0400000US18","Indiana","2498395","10688","2043794","12323","1893741","13558","530799","9719","1491787","12997","141731","6087","115430","5769","4938","978","454601","8523"
"0400000US19","Iowa","1236209","7287","1027025","9024","972080","9845","294312","7048","721065","8304","51763","3904","53389","3224","2345","620","209184","5835"
"0400000US20","Kansas","1113729","6143","936008","7212","872895","8016","230777","6333","698885","8782","60271","4028","44227","3094","1257","443","177721","6109"
"0400000US21","Kentucky","1705623","9376","1350703","11415","1253291","11223","342430","7257","997418","10387","93196","4830","84267","4011","2314","723","354920","8009"
"0400000US22","Louisiana","1728149","9677","1337856","12123","1202778","12938","264103","8487","1062620","12164","129272","5846","84420","4773","2501","772","390293","8373"
"0400000US23","Maine","547686","5711","458116","5983","440646","6206","162113","4526","291403","6501","16947","2102","21566","2467","295","163","89570","3572"
"0400000US24","Maryland","2161680","8942","1888897","9738","1798336","9776","369124","8604","1504413","11903","84335","5334","150049","6009","2320","602","272783","7278"
"0400000US25","Massachusetts","2536321","9232","2188964","12935","2102006","13927","500648","10325","1669719","13372","79542","5164","137748","5485","4315","1016","347357","9527"
"0400000US26","Michigan","3832466","10485","3192970","14371","2970716","16182","810469","10814","2354747","14091","211046","7435","160151","5987","5727","940","639496","10157"
"0400000US27","Minnesota","2119954","6871","1833150","8318","1747555","9391","441341","8881","1377628","10099","80836","3998","106899","4754","2398","552","286804","5759"
"0400000US28","Mississippi","1091002","7807","804784","10339","706523","10122","172864","6280","628351","9461","94945","5399","41556","4156","1126","630","286218","7202"
"0400000US29","Missouri","2362853","9949","1945008","12485","1804472","12851","497469","8361","1433572","12165","133046","5485","97987","4512","3773","969","417845","7724"
"0400000US30","Montana","406288","3840","339878","5274","327135","5478","113329","4123","224240","4753","12096","1858","12484","1657","295","206","66410","3025"
"0400000US31","Nebraska","730579","4441","607942","5234","574395","5189","163738","4642","439715","6598","31670","2434","30837","2490","693","332","122637","3887"
"0400000US32","Nevada","1002571","7173","864916","8603","803858","8788","187697","5658","668419","8576","57457","4054","54844","3573","1546","732","137655","5670"
"0400000US33","New Hampshire","519246","4617","461892","5582","447935","5565","133133","4585","322591","5847","12298","1860","33992","2832","695","418","57354","3552"
"0400000US34","New Jersey","3176139","9966","2741634","14125","2605700","13970","560860","9844","2162588","12515","125925","5520","182904","5717","3736","987","434505","8454"
"0400000US35","New Mexico","753507","6087","579982","7479","532845","7136","152146","5038","422997","7470","44813","3554","40383","2687","1066","452","173525","4909"
"0400000US36","New York","7219356","14194","6049068","20528","5708609","22325","1445251","15087","4547667","25377","311765","9647","485763","12881","12346","1562","1170288","14698"
"0400000US37","North Carolina","3757480","13443","3060304","16130","2845827","17946","739705","12611","2298729","17695","201389","7362","187613","7159","2982","897","697176","10657"
"0400000US38","North Dakota","298298","2835","249646","3519","238364","3782","60840","2620","186903","3792","10570","1423","13647","1421","339","211","48652","2470"
"0400000US39","Ohio","4564745","13440","3749288","17890","3488091","17850","990838","11611","2732935","17977","248217","7116","181450","6174","6784","1286","815457","11832"
"0400000US40","Oklahoma","1447277","6526","1175213","7285","1057785","7416","263225","5160","901143","7826","110253","4319","85381","4014","2040","489","272064","5120"
"0400000US41","Oregon","1523799","7789","1336344","8304","1271244","8600","335046","7437","991051","8799","61734","3939","61390","3788","1940","689","187455","6069"
"0400000US42","Pennsylvania","4938894","14403","4019167","17436","3800664","18034","1093515","12534","2900022","17447","208517","6523","185806","6014","5294","1053","919727","11600"
"0400000US44","Rhode Island","406366","4030","339384","4811","322262","5037","80891","3913","255789","5286","15662","2233","18190","1932","951","428","66982","4145"
"0400000US45","South Carolina","1794989","10191","1431872","11353","1312553","12103","342100","8918","1078778","11632","112728","6448","91185","5040","2691","894","363117","8896"
"0400000US46","South Dakota","331406","2992","272941","3986","258278","4175","82653","3702","186808","4306","13731","1758","18821","2184","591","337","58465","2770"
"0400000US47","Tennessee","2490249","12758","1972816","14080","1812974","15143","478171","9584","1482409","14518","153679","6517","92360","5184","2812","796","517433","8669"
"0400000US48","Texas","9110853","20640","7635470","23882","6957309","27417","1355135","17811","6195075","24841","635481","14027","577731","14275","15733","2298","1475383","17735"
"0400000US49","Utah","899475","5032","821406","6053","787087","6884","156453","5194","659358","6886","33100","3031","43694","3115","633","302","78069","3157"
"0400000US50","Vermont","253234","2792","216397","3397","208294","3081","70537","2859","143064","3522","7347","1282","12514","1319","363","240","36837","2119"
"0400000US51","Virginia","3055863","11608","2609849","14174","2481516","14910","555222","9048","2034071","12813","122308","5790","179411","6404","4101","975","446014","10160"
"0400000US53","Washington","2644557","11069","2335862","13237","2233550","13637","540725","9738","1775492","12658","94731","5850","161999","6301","2525","625","308695","9368"
"0400000US54","West Virginia","738653","5969","556591","7074","517716","7108","170138","5142","380583","8095","37158","2895","29131","2551","753","310","182062","5288"
"0400000US55","Wisconsin","2289424","8727","1902949","10662","1802391","10664","550303","10677","1337657","10800","95548","4162","79127","3486","2959","720","386475","8637"
"0400000US56","Wyoming","224003","3223","196931","3728","185272","4270","54541","3163","140404","4121","10932","1792","12017","1588","372","236","27072","2057"
"0400000US72","Puerto Rico","1253690","9187","712103","8919","602666","9254","223057","6116","479828","8278","102646","5786","49569","4044","2889","857","541587","8480"
